title,company,city,state,country,experienceLevel,salaryMin,salaryMax,salaryMedian,currency,source
Data Engineer,Bell,Montreal,Quebec,CA,mid,88000,120000,104000,CAD,levels
Software Engineer,CGI,Montreal,Quebec,CA,entry,60000,78000,68000,CAD,levels
Senior Software Engineer,CGI,Montreal,Quebec,CA,mid,95000,135000,115000,CAD,levels
Engineering Manager,CGI,Montreal,Quebec,CA,senior,130000,175000,152000,CAD,levels
Software Engineer,,Toronto,Ontario,CA,entry,70000,92000,80000,CAD,market
Software Engineer,,Vancouver,British Columbia,CA,entry,68000,90000,78000,CAD,market
Software Engineer,,Montreal,Quebec,CA,entry,62000,84000,72000,CAD,market
Software Engineer,,Ottawa,Ontario,CA,entry,66000,88000,76000,CAD,market
Software Engineer,,Calgary,Alberta,CA,entry,65000,86000,75000,CAD,market
Software Engineer,,Canada,,CA,entry,65000,90000,76000,CAD,market
Senior Software Engineer,,Toronto,Ontario,CA,mid,115000,170000,142000,CAD,market
Senior Software Engineer,,Vancouver,British Columbia,CA,mid,112000,168000,140000,CAD,market
Senior Software Engineer,,Montreal,Quebec,CA,mid,100000,150000,125000,CAD,market
Senior Software Engineer,,Canada,,CA,mid,105000,160000,132000,CAD,market
Staff Software Engineer,,Toronto,Ontario,CA,senior,155000,235000,195000,CAD,market
Staff Software Engineer,,Canada,,CA,senior,148000,225000,185000,CAD,market
Data Scientist,,Toronto,Ontario,CA,mid,90000,140000,115000,CAD,market
Data Scientist,,Canada,,CA,mid,85000,135000,108000,CAD,market
Data Engineer,,Toronto,Ontario,CA,mid,90000,130000,110000,CAD,market
Data Engineer,,Canada,,CA,mid,85000,125000,105000,CAD,market
Machine Learning Engineer,,Toronto,Ontario,CA,mid,105000,165000,135000,CAD,market
Machine Learning Engineer,,Canada,,CA,mid,100000,158000,128000,CAD,market
Product Manager,,Toronto,Ontario,CA,mid,95000,148000,120000,CAD,market
Product Manager,,Canada,,CA,mid,90000,142000,115000,CAD,market
Engineering Manager,,Toronto,Ontario,CA,senior,138000,200000,168000,CAD,market
Engineering Manager,,Canada,,CA,senior,130000,190000,160000,CAD,market
DevOps Engineer,,Toronto,Ontario,CA,mid,90000,130000,110000,CAD,market
DevOps Engineer,,Canada,,CA,mid,85000,125000,105000,CAD,market
Data Analyst,,Toronto,Ontario,CA,entry,58000,80000,68000,CAD,market
Data Analyst,,Canada,,CA,entry,55000,76000,64000,CAD,market
Business Analyst,,Toronto,Ontario,CA,entry,58000,78000,67000,CAD,market
Business Analyst,,Canada,,CA,entry,55000,75000,64000,CAD,market
Financial Analyst,,Toronto,Ontario,CA,entry,58000,82000,70000,CAD,market
Financial Analyst,,Canada,,CA,entry,55000,78000,66000,CAD,market
Frontend Engineer,,Toronto,Ontario,CA,mid,90000,138000,114000,CAD,market
Frontend Engineer,,Vancouver,British Columbia,CA,mid,88000,135000,112000,CAD,market
Backend Engineer,,Toronto,Ontario,CA,mid,92000,140000,116000,CAD,market
Backend Engineer,,Vancouver,British Columbia,CA,mid,90000,138000,114000,CAD,market
Product Designer,,Toronto,Ontario,CA,mid,85000,130000,108000,CAD,market
Product Designer,,Vancouver,British Columbia,CA,mid,82000,128000,105000,CAD,market
Mobile Developer,,Toronto,Ontario,CA,mid,88000,132000,110000,CAD,market
Mobile Developer,,Vancouver,British Columbia,CA,mid,86000,130000,108000,CAD,market
Quality Assurance Engineer,,Toronto,Ontario,CA,entry,58000,82000,70000,CAD,market
Quality Assurance Engineer,,Canada,,CA,entry,55000,78000,66000,CAD,market
