title,company,city,state,country,experienceLevel,salaryMin,salaryMax,salaryMedian,currency,source
Software Engineer,Tech Mahindra,Bangalore,Karnataka,IN,entry,370000,680000,520000,INR,ambitionbox
Software Engineer,Tech Mahindra,Hyderabad,Telangana,IN,entry,350000,650000,500000,INR,ambitionbox
Senior Software Engineer,Tech Mahindra,Bangalore,Karnataka,IN,mid,750000,1350000,1020000,INR,ambitionbox
Software Engineer,Flipkart,Bangalore,Karnataka,IN,entry,1800000,2800000,2200000,INR,ambitionbox
Software Engineer,Flipkart,Bangalore,Karnataka,IN,mid,2800000,4500000,3500000,INR,ambitionbox
Senior Software Engineer,Flipkart,Bangalore,Karnataka,IN,senior,4000000,7000000,5500000,INR,ambitionbox
Software Engineer,Amazon,Bangalore,Karnataka,IN,entry,1600000,2500000,2000000,INR,ambitionbox
Software Engineer,Amazon,Hyderabad,Telangana,IN,entry,1600000,2500000,2000000,INR,ambitionbox
Senior Software Engineer,Amazon,Bangalore,Karnataka,IN,mid,2500000,4200000,3200000,INR,ambitionbox
Senior Software Engineer,Amazon,Hyderabad,Telangana,IN,mid,2500000,4200000,3200000,INR,ambitionbox
Staff Software Engineer,Amazon,Bangalore,Karnataka,IN,senior,4500000,8000000,6000000,INR,ambitionbox
Software Engineer,Google,Bangalore,Karnataka,IN,entry,2000000,3200000,2600000,INR,ambitionbox
Software Engineer,Google,Hyderabad,Telangana,IN,entry,2000000,3200000,2600000,INR,ambitionbox
Senior Software Engineer,Google,Bangalore,Karnataka,IN,mid,3500000,5500000,4500000,INR,ambitionbox
Senior Software Engineer,Google,Hyderabad,Telangana,IN,mid,3500000,5500000,4500000,INR,ambitionbox
Staff Software Engineer,Google,Bangalore,Karnataka,IN,senior,5500000,9000000,7000000,INR,ambitionbox
Software Engineer,Microsoft,Bangalore,Karnataka,IN,entry,1800000,2800000,2300000,INR,ambitionbox
Software Engineer,Microsoft,Hyderabad,Telangana,IN,entry,1800000,2800000,2300000,INR,ambitionbox
Senior Software Engineer,Microsoft,Bangalore,Karnataka,IN,mid,3000000,5000000,4000000,INR,ambitionbox
Senior Software Engineer,Microsoft,Hyderabad,Telangana,IN,mid,3000000,5000000,4000000,INR,ambitionbox
Staff Software Engineer,Microsoft,Bangalore,Karnataka,IN,senior,5000000,8500000,6500000,INR,ambitionbox
Software Engineer,Razorpay,Bangalore,Karnataka,IN,entry,1500000,2400000,1900000,INR,ambitionbox
Senior Software Engineer,Razorpay,Bangalore,Karnataka,IN,mid,2800000,4500000,3600000,INR,ambitionbox
Staff Software Engineer,Razorpay,Bangalore,Karnataka,IN,senior,4500000,7500000,5800000,INR,ambitionbox
Software Engineer,Zomato,Gurugram,Haryana,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Zomato,Gurugram,Haryana,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Swiggy,Bangalore,Karnataka,IN,entry,1400000,2200000,1800000,INR,ambitionbox
Senior Software Engineer,Swiggy,Bangalore,Karnataka,IN,mid,2500000,4200000,3400000,INR,ambitionbox
Software Engineer,PhonePe,Bangalore,Karnataka,IN,entry,1500000,2400000,1900000,INR,ambitionbox
Senior Software Engineer,PhonePe,Bangalore,Karnataka,IN,mid,2800000,4500000,3600000,INR,ambitionbox
Software Engineer,Paytm,Noida,Uttar Pradesh,IN,entry,1000000,1800000,1400000,INR,ambitionbox
Senior Software Engineer,Paytm,Noida,Uttar Pradesh,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Software Engineer,Meesho,Bangalore,Karnataka,IN,entry,1400000,2200000,1800000,INR,ambitionbox
Senior Software Engineer,Meesho,Bangalore,Karnataka,IN,mid,2600000,4200000,3400000,INR,ambitionbox
Software Engineer,Cred,Bangalore,Karnataka,IN,entry,1800000,2800000,2300000,INR,ambitionbox
Senior Software Engineer,Cred,Bangalore,Karnataka,IN,mid,3200000,5200000,4200000,INR,ambitionbox
Software Engineer,Zerodha,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Zerodha,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Groww,Bangalore,Karnataka,IN,entry,1300000,2200000,1700000,INR,ambitionbox
Senior Software Engineer,Groww,Bangalore,Karnataka,IN,mid,2400000,4000000,3200000,INR,ambitionbox
Software Engineer,Ola,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Ola,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Uber,Bangalore,Karnataka,IN,entry,2000000,3200000,2600000,INR,ambitionbox
Senior Software Engineer,Uber,Bangalore,Karnataka,IN,mid,3500000,5500000,4500000,INR,ambitionbox
Software Engineer,Goldman Sachs,Bangalore,Karnataka,IN,entry,1800000,2800000,2300000,INR,ambitionbox
Senior Software Engineer,Goldman Sachs,Bangalore,Karnataka,IN,mid,3200000,5200000,4200000,INR,ambitionbox
Software Engineer,Morgan Stanley,Mumbai,Maharashtra,IN,entry,1700000,2700000,2200000,INR,ambitionbox
Senior Software Engineer,Morgan Stanley,Mumbai,Maharashtra,IN,mid,3000000,5000000,4000000,INR,ambitionbox
Software Engineer,JP Morgan,Mumbai,Maharashtra,IN,entry,1600000,2600000,2100000,INR,ambitionbox
Senior Software Engineer,JP Morgan,Mumbai,Maharashtra,IN,mid,2800000,4800000,3800000,INR,ambitionbox
Software Engineer,JP Morgan,Bangalore,Karnataka,IN,entry,1600000,2600000,2100000,INR,ambitionbox
Software Engineer,Deutsche Bank,Pune,Maharashtra,IN,entry,1400000,2200000,1800000,INR,ambitionbox
Senior Software Engineer,Deutsche Bank,Pune,Maharashtra,IN,mid,2500000,4200000,3400000,INR,ambitionbox
Software Engineer,SAP Labs,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,SAP Labs,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Adobe,Noida,Uttar Pradesh,IN,entry,1600000,2600000,2100000,INR,ambitionbox
Senior Software Engineer,Adobe,Noida,Uttar Pradesh,IN,mid,2800000,4800000,3800000,INR,ambitionbox
Software Engineer,Salesforce,Hyderabad,Telangana,IN,entry,1800000,2800000,2300000,INR,ambitionbox
Senior Software Engineer,Salesforce,Hyderabad,Telangana,IN,mid,3200000,5200000,4200000,INR,ambitionbox
Software Engineer,Oracle,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Oracle,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,IBM,Bangalore,Karnataka,IN,entry,600000,1100000,850000,INR,ambitionbox
Senior Software Engineer,IBM,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Software Engineer,Accenture,Bangalore,Karnataka,IN,entry,450000,800000,620000,INR,ambitionbox
Software Engineer,Accenture,Hyderabad,Telangana,IN,entry,430000,780000,600000,INR,ambitionbox
Software Engineer,Accenture,Pune,Maharashtra,IN,entry,430000,780000,600000,INR,ambitionbox
Senior Software Engineer,Accenture,Bangalore,Karnataka,IN,mid,900000,1700000,1300000,INR,ambitionbox
Software Engineer,Cognizant,Bangalore,Karnataka,IN,entry,400000,720000,560000,INR,ambitionbox
Software Engineer,Cognizant,Chennai,Tamil Nadu,IN,entry,380000,700000,540000,INR,ambitionbox
Senior Software Engineer,Cognizant,Bangalore,Karnataka,IN,mid,800000,1500000,1100000,INR,ambitionbox
Product Manager,Flipkart,Bangalore,Karnataka,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Product Manager,Amazon,Bangalore,Karnataka,IN,mid,2200000,4000000,3100000,INR,ambitionbox
Product Manager,Google,Bangalore,Karnataka,IN,mid,3000000,5500000,4200000,INR,ambitionbox
Product Manager,Microsoft,Bangalore,Karnataka,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Product Manager,Razorpay,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Product Manager,Swiggy,Bangalore,Karnataka,IN,mid,2000000,3500000,2700000,INR,ambitionbox
Product Manager,Zomato,Gurugram,Haryana,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Product Manager,Meesho,Bangalore,Karnataka,IN,mid,2000000,3500000,2700000,INR,ambitionbox
Product Manager,Paytm,Noida,Uttar Pradesh,IN,mid,1500000,2800000,2100000,INR,ambitionbox
Senior Product Manager,Flipkart,Bangalore,Karnataka,IN,senior,4000000,7000000,5500000,INR,ambitionbox
Senior Product Manager,Amazon,Bangalore,Karnataka,IN,senior,3800000,6500000,5000000,INR,ambitionbox
Senior Product Manager,Google,Bangalore,Karnataka,IN,senior,5000000,8500000,6500000,INR,ambitionbox
Data Scientist,Flipkart,Bangalore,Karnataka,IN,mid,2200000,4000000,3100000,INR,ambitionbox
Data Scientist,Amazon,Bangalore,Karnataka,IN,mid,2000000,3800000,2800000,INR,ambitionbox
Data Scientist,Google,Bangalore,Karnataka,IN,mid,2800000,5000000,3800000,INR,ambitionbox
Data Scientist,Microsoft,Hyderabad,Telangana,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Data Scientist,Swiggy,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Data Scientist,Zomato,Gurugram,Haryana,IN,mid,1600000,3000000,2300000,INR,ambitionbox
Data Scientist,TCS,Bangalore,Karnataka,IN,entry,600000,1100000,850000,INR,ambitionbox
Data Scientist,Infosys,Bangalore,Karnataka,IN,entry,650000,1200000,900000,INR,ambitionbox
Data Analyst,TCS,Bangalore,Karnataka,IN,entry,350000,600000,480000,INR,ambitionbox
Data Analyst,Infosys,Bangalore,Karnataka,IN,entry,380000,650000,500000,INR,ambitionbox
Data Analyst,Flipkart,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Data Analyst,Amazon,Bangalore,Karnataka,IN,mid,1400000,2400000,1900000,INR,ambitionbox
Data Analyst,Accenture,Bangalore,Karnataka,IN,entry,400000,700000,550000,INR,ambitionbox
Machine Learning Engineer,Google,Bangalore,Karnataka,IN,mid,3200000,5500000,4200000,INR,ambitionbox
Machine Learning Engineer,Amazon,Bangalore,Karnataka,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Machine Learning Engineer,Microsoft,Hyderabad,Telangana,IN,mid,2800000,5000000,3800000,INR,ambitionbox
Machine Learning Engineer,Flipkart,Bangalore,Karnataka,IN,mid,2500000,4200000,3300000,INR,ambitionbox
Machine Learning Engineer,Swiggy,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Business Analyst,TCS,Bangalore,Karnataka,IN,entry,400000,700000,550000,INR,ambitionbox
Business Analyst,Infosys,Bangalore,Karnataka,IN,entry,420000,750000,580000,INR,ambitionbox
Business Analyst,Flipkart,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Business Analyst,Amazon,Bangalore,Karnataka,IN,mid,1400000,2500000,1900000,INR,ambitionbox
Business Analyst,Accenture,Bangalore,Karnataka,IN,entry,450000,800000,620000,INR,ambitionbox
Business Analyst,Deloitte,Bangalore,Karnataka,IN,entry,600000,1100000,850000,INR,ambitionbox
Business Analyst,Deloitte,Hyderabad,Telangana,IN,entry,580000,1050000,820000,INR,ambitionbox
Business Analyst,EY,Bangalore,Karnataka,IN,entry,550000,1000000,780000,INR,ambitionbox
Business Analyst,KPMG,Bangalore,Karnataka,IN,entry,550000,1000000,780000,INR,ambitionbox
Consultant,McKinsey,Gurugram,Haryana,IN,entry,2500000,4000000,3200000,INR,ambitionbox
Consultant,McKinsey,Mumbai,Maharashtra,IN,entry,2500000,4000000,3200000,INR,ambitionbox
Consultant,BCG,Gurugram,Haryana,IN,entry,2400000,3800000,3000000,INR,ambitionbox
Consultant,BCG,Mumbai,Maharashtra,IN,entry,2400000,3800000,3000000,INR,ambitionbox
Consultant,Bain,Gurugram,Haryana,IN,entry,2300000,3700000,2900000,INR,ambitionbox
Consultant,Bain,Mumbai,Maharashtra,IN,entry,2300000,3700000,2900000,INR,ambitionbox
Consultant,Deloitte,Bangalore,Karnataka,IN,entry,800000,1500000,1100000,INR,ambitionbox
Consultant,Deloitte,Hyderabad,Telangana,IN,entry,780000,1450000,1050000,INR,ambitionbox
Consultant,Deloitte,Mumbai,Maharashtra,IN,entry,820000,1550000,1150000,INR,ambitionbox
Consultant,EY,Bangalore,Karnataka,IN,entry,700000,1300000,1000000,INR,ambitionbox
Consultant,EY,Mumbai,Maharashtra,IN,entry,720000,1350000,1020000,INR,ambitionbox
Consultant,KPMG,Bangalore,Karnataka,IN,entry,680000,1250000,960000,INR,ambitionbox
Consultant,KPMG,Mumbai,Maharashtra,IN,entry,700000,1300000,1000000,INR,ambitionbox
Senior Consultant,Deloitte,Bangalore,Karnataka,IN,mid,1500000,2800000,2100000,INR,ambitionbox
Senior Consultant,Deloitte,Mumbai,Maharashtra,IN,mid,1600000,2900000,2200000,INR,ambitionbox
Senior Consultant,EY,Bangalore,Karnataka,IN,mid,1300000,2500000,1900000,INR,ambitionbox
Senior Consultant,KPMG,Bangalore,Karnataka,IN,mid,1200000,2400000,1800000,INR,ambitionbox
Senior Consultant,McKinsey,Gurugram,Haryana,IN,mid,4500000,7000000,5500000,INR,ambitionbox
Senior Consultant,BCG,Gurugram,Haryana,IN,mid,4200000,6500000,5200000,INR,ambitionbox
DevOps Engineer,TCS,Bangalore,Karnataka,IN,entry,450000,800000,620000,INR,ambitionbox
DevOps Engineer,Infosys,Bangalore,Karnataka,IN,entry,480000,850000,660000,INR,ambitionbox
DevOps Engineer,Amazon,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
DevOps Engineer,Flipkart,Bangalore,Karnataka,IN,mid,1600000,2800000,2200000,INR,ambitionbox
DevOps Engineer,Razorpay,Bangalore,Karnataka,IN,mid,1800000,3000000,2400000,INR,ambitionbox
Quality Assurance Engineer,TCS,Bangalore,Karnataka,IN,entry,350000,620000,480000,INR,ambitionbox
Quality Assurance Engineer,Infosys,Bangalore,Karnataka,IN,entry,370000,660000,510000,INR,ambitionbox
Quality Assurance Engineer,Flipkart,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Quality Assurance Engineer,Amazon,Bangalore,Karnataka,IN,mid,1400000,2400000,1900000,INR,ambitionbox
Frontend Engineer,Flipkart,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Frontend Engineer,Razorpay,Bangalore,Karnataka,IN,mid,1600000,2800000,2200000,INR,ambitionbox
Frontend Engineer,Swiggy,Bangalore,Karnataka,IN,mid,1500000,2600000,2000000,INR,ambitionbox
Frontend Engineer,Zomato,Gurugram,Haryana,IN,mid,1400000,2500000,1900000,INR,ambitionbox
Backend Engineer,Flipkart,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Backend Engineer,Razorpay,Bangalore,Karnataka,IN,mid,1600000,2800000,2200000,INR,ambitionbox
Backend Engineer,Swiggy,Bangalore,Karnataka,IN,mid,1500000,2600000,2000000,INR,ambitionbox
Full Stack Engineer,Flipkart,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Full Stack Engineer,Razorpay,Bangalore,Karnataka,IN,mid,1500000,2700000,2100000,INR,ambitionbox
Full Stack Engineer,Swiggy,Bangalore,Karnataka,IN,mid,1400000,2500000,1900000,INR,ambitionbox
Full Stack Engineer,TCS,Bangalore,Karnataka,IN,entry,450000,800000,620000,INR,ambitionbox
Full Stack Engineer,Infosys,Bangalore,Karnataka,IN,entry,480000,850000,660000,INR,ambitionbox
Product Designer,Flipkart,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Product Designer,Razorpay,Bangalore,Karnataka,IN,mid,1500000,2800000,2100000,INR,ambitionbox
Product Designer,Swiggy,Bangalore,Karnataka,IN,mid,1400000,2500000,1900000,INR,ambitionbox
Product Designer,Zomato,Gurugram,Haryana,IN,mid,1300000,2400000,1800000,INR,ambitionbox
Product Designer,Google,Bangalore,Karnataka,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Product Designer,Microsoft,Bangalore,Karnataka,IN,mid,2200000,4000000,3100000,INR,ambitionbox
Engineering Manager,Google,Bangalore,Karnataka,IN,senior,5500000,9000000,7200000,INR,ambitionbox
Engineering Manager,Amazon,Bangalore,Karnataka,IN,senior,4500000,7500000,6000000,INR,ambitionbox
Engineering Manager,Microsoft,Bangalore,Karnataka,IN,senior,4500000,7500000,6000000,INR,ambitionbox
Engineering Manager,Flipkart,Bangalore,Karnataka,IN,senior,4000000,7000000,5500000,INR,ambitionbox
Engineering Manager,Razorpay,Bangalore,Karnataka,IN,senior,3500000,6000000,4800000,INR,ambitionbox
Technical Program Manager,Amazon,Bangalore,Karnataka,IN,mid,2200000,4000000,3100000,INR,ambitionbox
Technical Program Manager,Google,Bangalore,Karnataka,IN,mid,2800000,5000000,3800000,INR,ambitionbox
Technical Program Manager,Microsoft,Hyderabad,Telangana,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Solutions Architect,Amazon,Bangalore,Karnataka,IN,mid,2200000,4000000,3100000,INR,ambitionbox
Solutions Architect,TCS,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Solutions Architect,Infosys,Bangalore,Karnataka,IN,mid,1300000,2400000,1800000,INR,ambitionbox
Project Manager,TCS,Bangalore,Karnataka,IN,mid,1000000,1800000,1400000,INR,ambitionbox
Project Manager,Infosys,Bangalore,Karnataka,IN,mid,1050000,1900000,1450000,INR,ambitionbox
Project Manager,Wipro,Bangalore,Karnataka,IN,mid,950000,1750000,1350000,INR,ambitionbox
Project Manager,Accenture,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Human Resources,TCS,Bangalore,Karnataka,IN,entry,350000,600000,470000,INR,ambitionbox
Human Resources,Infosys,Bangalore,Karnataka,IN,entry,370000,650000,500000,INR,ambitionbox
Human Resources,Flipkart,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Financial Analyst,Goldman Sachs,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Financial Analyst,JP Morgan,Mumbai,Maharashtra,IN,entry,1100000,1800000,1450000,INR,ambitionbox
Financial Analyst,Morgan Stanley,Mumbai,Maharashtra,IN,entry,1100000,1900000,1500000,INR,ambitionbox
Financial Analyst,Deutsche Bank,Pune,Maharashtra,IN,entry,1000000,1700000,1350000,INR,ambitionbox
Financial Analyst,Deloitte,Bangalore,Karnataka,IN,entry,600000,1100000,850000,INR,ambitionbox
Financial Analyst,EY,Bangalore,Karnataka,IN,entry,550000,1000000,780000,INR,ambitionbox
Marketing Manager,Flipkart,Bangalore,Karnataka,IN,mid,1500000,2800000,2100000,INR,ambitionbox
Marketing Manager,Amazon,Bangalore,Karnataka,IN,mid,1600000,3000000,2300000,INR,ambitionbox
Marketing Manager,Zomato,Gurugram,Haryana,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Marketing Manager,Swiggy,Bangalore,Karnataka,IN,mid,1300000,2400000,1800000,INR,ambitionbox
Sales Executive,TCS,Bangalore,Karnataka,IN,entry,300000,550000,420000,INR,ambitionbox
Sales Executive,Infosys,Bangalore,Karnataka,IN,entry,320000,580000,450000,INR,ambitionbox
Account Manager,TCS,Bangalore,Karnataka,IN,mid,800000,1500000,1100000,INR,ambitionbox
Account Manager,Infosys,Bangalore,Karnataka,IN,mid,850000,1600000,1200000,INR,ambitionbox
Mobile Developer,Flipkart,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Mobile Developer,Swiggy,Bangalore,Karnataka,IN,mid,1600000,2800000,2200000,INR,ambitionbox
Mobile Developer,Zomato,Gurugram,Haryana,IN,mid,1400000,2500000,1900000,INR,ambitionbox
Mobile Developer,PhonePe,Bangalore,Karnataka,IN,mid,1500000,2700000,2100000,INR,ambitionbox
Security Engineer,Amazon,Bangalore,Karnataka,IN,mid,2000000,3500000,2700000,INR,ambitionbox
Security Engineer,Google,Bangalore,Karnataka,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Security Engineer,Microsoft,Hyderabad,Telangana,IN,mid,2200000,4000000,3100000,INR,ambitionbox
Database Administrator,TCS,Bangalore,Karnataka,IN,entry,400000,700000,550000,INR,ambitionbox
Database Administrator,Infosys,Bangalore,Karnataka,IN,entry,420000,750000,580000,INR,ambitionbox
Database Administrator,Oracle,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Data Engineer,Flipkart,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Data Engineer,Amazon,Bangalore,Karnataka,IN,mid,2000000,3500000,2700000,INR,ambitionbox
Data Engineer,Google,Bangalore,Karnataka,IN,mid,2500000,4500000,3500000,INR,ambitionbox
Data Engineer,Swiggy,Bangalore,Karnataka,IN,mid,1500000,2600000,2000000,INR,ambitionbox
Data Engineer,TCS,Bangalore,Karnataka,IN,entry,450000,800000,620000,INR,ambitionbox
Data Engineer,Infosys,Bangalore,Karnataka,IN,entry,480000,850000,660000,INR,ambitionbox
Scrum Master,TCS,Bangalore,Karnataka,IN,mid,800000,1500000,1100000,INR,ambitionbox
Scrum Master,Infosys,Bangalore,Karnataka,IN,mid,850000,1600000,1200000,INR,ambitionbox
Scrum Master,Accenture,Bangalore,Karnataka,IN,mid,1000000,1800000,1400000,INR,ambitionbox
Technical Writer,Google,Bangalore,Karnataka,IN,mid,1500000,2800000,2100000,INR,ambitionbox
Technical Writer,Amazon,Bangalore,Karnataka,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Technical Writer,Microsoft,Hyderabad,Telangana,IN,mid,1200000,2200000,1700000,INR,ambitionbox
Network Engineer,TCS,Bangalore,Karnataka,IN,entry,350000,620000,480000,INR,ambitionbox
Network Engineer,Infosys,Bangalore,Karnataka,IN,entry,370000,660000,510000,INR,ambitionbox
Systems Administrator,TCS,Bangalore,Karnataka,IN,entry,320000,580000,450000,INR,ambitionbox
Systems Administrator,Infosys,Bangalore,Karnataka,IN,entry,340000,620000,480000,INR,ambitionbox
Software Engineer,Atlassian,Bangalore,Karnataka,IN,entry,2000000,3200000,2600000,INR,ambitionbox
Senior Software Engineer,Atlassian,Bangalore,Karnataka,IN,mid,3500000,5500000,4500000,INR,ambitionbox
Software Engineer,Intuit,Bangalore,Karnataka,IN,entry,1500000,2400000,1900000,INR,ambitionbox
Senior Software Engineer,Intuit,Bangalore,Karnataka,IN,mid,2800000,4500000,3600000,INR,ambitionbox
Software Engineer,Walmart Labs,Bangalore,Karnataka,IN,entry,1400000,2200000,1800000,INR,ambitionbox
Senior Software Engineer,Walmart Labs,Bangalore,Karnataka,IN,mid,2500000,4200000,3400000,INR,ambitionbox
Software Engineer,Myntra,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Myntra,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Directi,Mumbai,Maharashtra,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Directi,Mumbai,Maharashtra,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Dream11,Mumbai,Maharashtra,IN,entry,1500000,2400000,1900000,INR,ambitionbox
Senior Software Engineer,Dream11,Mumbai,Maharashtra,IN,mid,2800000,4500000,3600000,INR,ambitionbox
Software Engineer,Juspay,Bangalore,Karnataka,IN,entry,1000000,1800000,1400000,INR,ambitionbox
Senior Software Engineer,Juspay,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Software Engineer,Freshworks,Chennai,Tamil Nadu,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Freshworks,Chennai,Tamil Nadu,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Zoho,Chennai,Tamil Nadu,IN,entry,500000,900000,700000,INR,ambitionbox
Senior Software Engineer,Zoho,Chennai,Tamil Nadu,IN,mid,1000000,1800000,1400000,INR,ambitionbox
Software Engineer,Harness,Bangalore,Karnataka,IN,entry,1500000,2400000,1900000,INR,ambitionbox
Senior Software Engineer,Harness,Bangalore,Karnataka,IN,mid,2800000,4500000,3600000,INR,ambitionbox
Software Engineer,Nutanix,Bangalore,Karnataka,IN,entry,1400000,2200000,1800000,INR,ambitionbox
Senior Software Engineer,Nutanix,Bangalore,Karnataka,IN,mid,2500000,4200000,3400000,INR,ambitionbox
Software Engineer,VMware,Bangalore,Karnataka,IN,entry,1300000,2100000,1700000,INR,ambitionbox
Senior Software Engineer,VMware,Bangalore,Karnataka,IN,mid,2400000,4000000,3200000,INR,ambitionbox
Software Engineer,Cisco,Bangalore,Karnataka,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Cisco,Bangalore,Karnataka,IN,mid,2200000,3800000,3000000,INR,ambitionbox
Software Engineer,Samsung,Bangalore,Karnataka,IN,entry,1000000,1800000,1400000,INR,ambitionbox
Senior Software Engineer,Samsung,Bangalore,Karnataka,IN,mid,1800000,3200000,2500000,INR,ambitionbox
Software Engineer,Qualcomm,Hyderabad,Telangana,IN,entry,1200000,2000000,1600000,INR,ambitionbox
Senior Software Engineer,Qualcomm,Hyderabad,Telangana,IN,mid,2200000,3800000,3000000,INR,ambitionbox
